symbol,name,sector,market_cap,date_of_listing
HDFCBANK.NS,HDFC Bank Limited,Financial Services,15556605378560,1996-01-01 03:45:00+00:00
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,3258801717248,2007-11-27 03:45:00+00:00
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LTD,Financial Services,878418395136,2024-09-16 03:45:00+00:00
MARICO.NS,Marico Limited,Consumer Defensive,938917036032,1996-05-01 03:45:00+00:00
MRF.NS,MRF Limited,Consumer Cyclical,652376473600,2002-07-01 03:45:00+00:00
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,2548365524992,2007-10-05 03:45:00+00:00
IRB.NS,IRB Infrastructure Developers Limited,Industrials,260646109184,2008-02-25 03:45:00+00:00
PERSISTENT.NS,Persistent Systems Limited,Technology,1000138866688,2010-04-06 03:45:00+00:00
TMPV.NS,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,2638129397760,2025-10-15 03:45:00+00:00
INDIGO.NS,InterGlobe Aviation Limited,Industrials,2285714014208,2015-11-10 03:45:00+00:00
OFSS.NS,Oracle Financial Services Software Limited,Technology,708415913984,2002-06-28 03:45:00+00:00
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,1920506134528,1996-01-01 03:45:00+00:00
UNITDSPR.NS,UNITED SPIRITS LIMITED,Consumer Defensive,1053277356032,2024-05-30 03:45:00+00:00
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Industrials,1079082090496,2020-10-12 03:45:00+00:00
HDFCAMC.NS,HDFC Asset Management Company Limited,Financial Services,1145209880576,2018-08-06 03:45:00+00:00
TATATECH.NS,Tata Technologies Limited,Technology,274422857728,2023-11-30 03:45:00+00:00
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,4199848607744,2001-07-02 03:45:00+00:00
BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,1068223365120,2002-07-01 03:45:00+00:00
TRENT.NS,Trent Limited,Consumer Cyclical,1514021584896,2002-07-01 03:45:00+00:00
PAGEIND.NS,Page Industries Limited,Consumer Cyclical,433885708288,2007-03-16 03:45:00+00:00
TATAELXSI.NS,Tata Elxsi Limited,Technology,322877259776,2002-07-01 03:45:00+00:00
NAUKRI.NS,Info Edge (India) Limited,Communication Services,861146841088,2006-11-21 03:45:00+00:00
360ONE.NS,360 One Wam Limited,Financial Services,471406215168,2019-09-19 03:45:00+00:00
HCLTECH.NS,HCL Technologies Limited,Technology,4399912452096,2002-08-12 03:45:00+00:00
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,2437003870208,2002-08-12 03:45:00+00:00
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Energy,982841163776,1996-01-02 03:45:00+00:00
GODFRYPHLP.NS,Godfrey Phillips India Limited,Consumer Defensive,457244901376,1999-01-04 03:45:00+00:00
POLICYBZR.NS,PB Fintech Limited,Financial Services,834608824320,2021-11-15 03:45:00+00:00
SONACOMS.NS,Sona BLW Precision Forgings Limited,Consumer Cyclical,317588701184,2021-06-24 03:45:00+00:00
IOC.NS,Indian Oil Corporation Limited,Energy,2304444989440,1996-04-15 03:45:00+00:00
ITCHOTELS.NS,ITC HOTELS LIMITED,Consumer Cyclical,439439654912,2025-01-29 03:45:00+00:00
COROMANDEL.NS,Coromandel International Limited,Basic Materials,693861023744,2002-08-12 03:45:00+00:00
