symbol,name,sector,market_cap,date_of_listing
MAHAPEXLTD.NS,Maha Rashtra Apex Corporation Limited,Financial Services,1268266368.0,2018-04-05 03:45:00+00:00
MAHASTEEL.NS,Mahamaya Steel Industries Limited,Basic Materials,11900058624.0,2016-07-01 03:45:00+00:00
MAHEPC.NS,Mahindra EPC Irrigation Limited,Industrials,3579430400.0,2020-02-14 03:45:00+00:00
MAHESHWARI.NS,Maheshwari Logistics Limited,Industrials,1491698944.0,2017-03-15 03:45:00+00:00
MAHLIFE.NS,Mahindra Lifespace Developers Limited,Real Estate,88738734080.0,2002-07-01 03:45:00+00:00
MAHLOG.NS,Mahindra Logistics Limited,Industrials,32432111616.0,2017-11-10 03:45:00+00:00
MAHSCOOTER.NS,Maharashtra Scooters Ltd.,Financial Services,167536541696.0,2002-07-01 03:45:00+00:00
MAHSEAMLES.NS,Maharashtra Seamless Limited,Basic Materials,77022765056.0,2002-07-01 03:45:00+00:00
MAITHANALL.NS,Maithan Alloys Limited,Basic Materials,27863848960.0,2011-07-05 03:45:00+00:00
MALLCOM.NS,Mallcom (India) Limited,Industrials,7789392384.0,2022-02-02 03:45:00+00:00
MALUPAPER.NS,Malu Paper Mills Limited,Basic Materials,646150976.0,2006-04-05 03:45:00+00:00
MAMATA.NS,MAMATA MACHINERY LIMITED,Industrials,10368496640.0,2024-12-27 03:45:00+00:00
MANAKALUCO.NS,Manaksia Aluminium Company Limited,Basic Materials,1614612864.0,2015-03-30 03:45:00+00:00
MANAKCOAT.NS,Manaksia Coated Metals & Industries Limited,Industrials,15282436096.0,2015-03-30 03:45:00+00:00
MANAKSIA.NS,Manaksia Limited,Industrials,4197455872.0,2008-01-08 03:45:00+00:00
MANAKSTEEL.NS,Manaksia Steels Limited,Basic Materials,3941873152.0,2015-03-30 03:45:00+00:00
MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,11281429504.0,2002-07-01 03:45:00+00:00
MANAPPURAM.NS,Manappuram Finance Limited,Financial Services,241445519360.0,2010-06-30 03:45:00+00:00
MANBA.NS,MANBA FINANCE LIMITED,Financial Services,7013421568.0,2024-09-30 03:45:00+00:00
MANCREDIT.NS,Mangal Credit and Fincorp Limited,Financial Services,3630359040.0,2024-08-16 03:45:00+00:00
MANGALAM.NS,Mangalam Drugs & Organics Limited,Healthcare,466483584.0,2005-05-23 03:45:00+00:00
MANGLMCEM.NS,Mangalam Cement Limited,Basic Materials,19039123456.0,2002-07-01 03:45:00+00:00
MANINDS.NS,Man Industries (India) Limited,Basic Materials,35453272064.0,2005-06-24 03:45:00+00:00
MANINFRA.NS,Man Infraconstruction Limited,Industrials,52549300224.0,2010-03-11 03:45:00+00:00
MANKIND.NS,Mankind Pharma Limited,Healthcare,929389281280.0,2023-05-09 03:45:00+00:00
MANOMAY.NS,Manomay Tex India Limited,Consumer Cyclical,4572827648.0,2023-01-18 03:45:00+00:00
MANORAMA.NS,Manorama Industries Limited,Consumer Defensive,77629784064.0,2022-07-01 03:45:00+00:00
MANORG.NS,Mangalam Organics Limited,Basic Materials,4144760832.0,2021-11-02 03:45:00+00:00
MANUGRAPH.NS,Manugraph India Limited,Industrials,521357920.0,2006-09-14 03:45:00+00:00
MANYAVAR.NS,Vedant Fashions Limited,Consumer Cyclical,149471232000.0,2022-02-16 03:45:00+00:00
MAPMYINDIA.NS,C. E. Info Systems Limited,Technology,91019051008.0,2021-12-21 03:45:00+00:00
MARALOVER.NS,Maral Overseas Limited,Consumer Cyclical,1971629952.0,2002-07-01 03:45:00+00:00
MARATHON.NS,Marathon Nextgen Realty Limited,Real Estate,37418401792.0,2016-09-29 03:45:00+00:00
MARICO.NS,Marico Limited,Consumer Defensive,941441548288.0,1996-05-01 03:45:00+00:00
MARINE.NS,Marine Electricals (India) Limited,Industrials,30552807424.0,2018-10-26 03:45:00+00:00
MARKOLINES.NS,MARKOLINES PAVEMENT TEC L,Industrials,3455494656.0,2025-10-14 03:45:00+00:00
MARKSANS.NS,Marksans Pharma Limited,Healthcare,86495363072.0,2002-07-19 03:45:00+00:00
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,5001201582080.0,2003-07-09 03:45:00+00:00
MASFIN.NS,MAS Financial Services Limited,Financial Services,55370928128.0,2017-10-18 03:45:00+00:00
MASKINVEST.NS,Mask Investments Limited,Financial Services,503497504.0,2016-10-14 03:45:00+00:00
MASTEK.NS,Mastek Limited,Technology,68619661312.0,2002-07-01 03:45:00+00:00
MASTERTR.NS,Master Trust Limited,Financial Services,14401148928.0,2024-11-12 03:45:00+00:00
MATRIMONY.NS,Matrimony.com Limited,Communication Services,10708071424.0,2017-09-21 03:45:00+00:00
MAWANASUG.NS,Mawana Sugars Limited,Consumer Defensive,3247481856.0,2009-03-20 03:45:00+00:00
MAXESTATES.NS,MAX ESTATES LIMITED,Real Estate,78195769344.0,2023-10-30 03:45:00+00:00
MAXHEALTH.NS,Max Healthcare Institute Limited,Healthcare,1130087055360.0,2020-08-21 03:45:00+00:00
MAXIND.NS,Max India Limited,Healthcare,10820097024.0,2020-08-28 03:45:00+00:00
MAYURUNIQ.NS,Mayur Uniquoters Limited,Consumer Cyclical,21736611840.0,2012-09-25 03:45:00+00:00
MAZDA.NS,Mazda Limited,Industrials,4788629504.0,2016-11-02 03:45:00+00:00
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Industrials,1078799499264.0,2020-10-12 03:45:00+00:00
